ORIGEN VALIDACION NUMERO CTE,ActualizacionDatos valant,NULL
ORIGEN VALIDACION NUMERO CTE,AEA00028 valant,NULL
ORIGEN VALIDACION NUMERO CTE,APP SUP,NULL
ORIGEN VALIDACION NUMERO CTE,APP SUP valant,NULL
ORIGEN VALIDACION NUMERO CTE,AUTENTICACION VIDEO LLAMADA,NULL
ORIGEN VALIDACION NUMERO CTE,BIOMETRICO HAZTEN,NULL
ORIGEN VALIDACION NUMERO CTE,BitacoraAtencionCTE valant,NULL
ORIGEN VALIDACION NUMERO CTE,CamDomSHM valant,NULL
ORIGEN VALIDACION NUMERO CTE,CampoExtra valant,NULL
ORIGEN VALIDACION NUMERO CTE,CamposExtras valant,NULL
ORIGEN VALIDACION NUMERO CTE,CancSeguros valant,NULL
ORIGEN VALIDACION NUMERO CTE,Convenio RD valant,NULL
ORIGEN VALIDACION NUMERO CTE,DatosHV valant,NULL
ORIGEN VALIDACION NUMERO CTE,DetalleVenta valant,NULL
ORIGEN VALIDACION NUMERO CTE,Fichas Cobranza valant,NULL
ORIGEN VALIDACION NUMERO CTE,HOJA VERDE valant,NULL
ORIGEN VALIDACION NUMERO CTE,Operativos Cobranza valant,NULL
ORIGEN VALIDACION NUMERO CTE,PrelimCobro valant,NULL
ORIGEN VALIDACION NUMERO CTE,PreliminarCobro valant,NULL
ORIGEN VALIDACION NUMERO CTE,PreSegSHM valant,NULL
ORIGEN VALIDACION NUMERO CTE,ValAnt,NULL
ORIGEN VALIDACION NUMERO CTE,ValidacionTel valant,NULL
ORIGEN VALIDACION NUMERO CTE,VIDEOLLAMADA,NULL
